algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late,case
Random,n50 m10 bimodal high,50,10,0,6000,0.15797307546603276,33.674021522953296,18.419430770850834,25.10693322506205,,0.7250912189483643,6000,0.0,0.0,0.0,0.0,1.3333333333333333,0.9012873563218391,,,,17d makespan+energy
Random,n50 m10 bimodal high,50,10,1,6000,0.15844182292993042,34.0370170651558,18.227379974547187,25.10693322506205,,0.885176420211792,6000,0.0,0.0,0.0,0.0,1.0,0.9010114942528736,,,,17d makespan+energy
MRFO,n50 m10 bimodal high,50,10,0,6000,0.1655562462992505,35.92800425751613,18.70575671271157,25.10693322506205,,1.7375493049621582,5970,0.1260942760942761,0.0,0.0430976430976431,30.696801346801347,3.1825795644891124,0.004,,35.385185185185186,26.00841750841751,17d makespan+energy
MRFO,n50 m10 bimodal high,50,10,1,6000,0.1935550178055618,42.39303344505802,21.504555542221382,25.10693322506205,,3.8885974884033203,5970,0.20707070707070707,0.0,0.03282828282828283,26.518013468013468,1.340033500837521,0.0,,31.223569023569024,21.812457912457912,17d makespan+energy
QI-MRFO,n50 m10 bimodal high,50,10,0,6000,0.1283955097597407,26.803750485748118,15.500973186929295,25.10693322506205,,6.128355026245117,5970,0.09208754208754209,0.0,0.15707070707070708,7.945454545454545,17.75544388609715,0.0,0.9532610954738434,10.796969696969697,5.093939393939394,17d makespan+energy
QI-MRFO,n50 m10 bimodal high,50,10,1,6000,0.14032796075913403,29.894998171300283,16.378669388003324,25.10693322506205,,4.597454071044922,5970,0.1382154882154882,0.0,0.09478114478114479,6.958585858585859,11.222780569514239,0.02032183908045977,0.9483294361361206,9.554545454545455,4.362626262626263,17d makespan+energy
GA,n50 m10 bimodal high,50,10,0,6000,0.14520215155635924,31.120973246569477,16.771649858547722,25.10693322506205,,1.902327060699463,5975,0.02691337258200168,0.0,0.31084945332211944,5.922624053826745,9.539748953974895,0.17894252873563218,,7.233176312247645,4.612512613521695,17d makespan+energy
GA,n50 m10 bimodal high,50,10,1,6000,0.13253501148513208,27.908524993344948,15.775085243884265,25.10693322506205,,2.9052417278289795,5975,0.022203532380151388,0.0,0.3091673675357443,5.785197645079899,11.213389121338912,0.17544827586206896,,7.0783983849259755,4.492431886982845,17d makespan+energy
DMO,n50 m10 bimodal high,50,10,0,6000,0.20496141268226753,44.9450085738202,22.721472706496005,25.10693322506205,,4.8432252407073975,5973,0.05437710437710438,0.0,0.25336700336700335,26.373905723905725,0.8371002846140968,0.7933333333333333,,29.324579124579124,23.423232323232323,17d makespan+energy
DMO,n50 m10 bimodal high,50,10,1,6000,0.19135685538545166,41.55822081984569,21.591709085994115,25.10693322506205,,2.7904505729675293,5973,0.05505050505050505,0.0,0.2505050505050505,26.47895622895623,0.3348401138456387,0.7549425287356322,,28.76936026936027,24.188552188552187,17d makespan+energy
QI-DMO,n50 m10 bimodal high,50,10,0,6000,0.1454538427430041,30.780667715275143,17.170439604844706,25.10693322506205,,7.311694622039795,5970,0.001851851851851852,0.0,0.37744107744107747,14.577441077441078,4.857621440536013,0.24266666666666667,0.883291487027923,19.772727272727273,9.382154882154882,17d makespan+energy
QI-DMO,n50 m10 bimodal high,50,10,1,6000,0.1428490853069571,30.231095373100487,16.861415543077165,25.10693322506205,,8.159021854400635,5970,0.000505050505050505,0.0,0.36582491582491583,15.014309764309765,1.5075376884422111,0.27282758620689657,0.8789279403658509,19.281144781144782,10.747474747474747,17d makespan+energy
QI-MRFO,n40 m8 identical none,40,8,0,6000,30.0,30.0,12.444444444444445,25.0,0.2,4.937324523925781,5970,0.0361952861952862,0.37744107744107747,0.008754208754208754,11.18922558922559,0.0,0.23051724137931034,0.7690004306802778,12.262626262626263,10.115824915824916,"17c identical tasks, homogeneous VMs / neutral-accept test"
QI-MRFO,n40 m8 identical none,40,8,1,6000,30.0,30.0,12.444444444444445,25.0,0.2,9.218317747116089,5970,0.040067340067340064,0.4058922558922559,0.009595959595959595,9.095117845117844,0.0,0.13804597701149426,0.8471949158832818,10.418181818181818,7.772053872053872,"17c identical tasks, homogeneous VMs / neutral-accept test"
QI-MRFO neutral-accept,n40 m8 identical none,40,8,0,6000,25.0,25.0,11.11111111111111,25.0,0.0,7.619321346282959,5970,0.1994949494949495,0.035521885521885524,0.013131313131313131,5.57037037037037,0.16750418760469013,0.0,0.9462958146052773,7.210774410774411,3.92996632996633,"17c identical tasks, homogeneous VMs / neutral-accept test"
QI-MRFO neutral-accept,n40 m8 identical none,40,8,1,6000,30.0,30.0,12.444444444444445,25.0,0.2,5.457403659820557,5970,0.07828282828282829,0.38602693602693605,0.009595959595959595,7.351851851851852,0.0,0.03793103448275862,0.9255766241843232,8.882491582491582,5.821212121212121,"17c identical tasks, homogeneous VMs / neutral-accept test"
QI-MRFO,n50 m10 bimodal high,50,10,0,6000,26.803750485748118,26.803750485748118,15.955963165164748,25.10693322506205,0.06758361307912683,9.406150102615356,5970,0.09343434343434344,0.11666666666666667,0.09478114478114479,7.6008417508417505,6.197654941373535,0.014160919540229886,0.9511993865495785,10.243434343434343,4.958249158249158,17c-control uniform n100 / neutral-accept test
QI-MRFO,n50 m10 bimodal high,50,10,1,6000,27.06024893394277,27.06024893394277,16.030679652648523,25.10693322506205,0.07779985278850766,5.2006378173828125,5970,0.1063973063973064,0.1026936026936027,0.08552188552188553,6.996296296296296,5.527638190954774,0.010666666666666666,0.9524373905182846,9.360942760942761,4.631649831649832,17c-control uniform n100 / neutral-accept test
QI-MRFO neutral-accept,n50 m10 bimodal high,50,10,0,6000,26.803750485748118,26.803750485748118,15.926004494003587,25.10693322506205,0.06758361307912683,8.860446691513062,5970,0.11296296296296296,0.10218855218855219,0.08047138047138047,7.5904040404040405,6.030150753768845,0.004,0.9544843187032984,10.407744107744108,4.773063973063973,17c-control uniform n100 / neutral-accept test
QI-MRFO neutral-accept,n50 m10 bimodal high,50,10,1,6000,27.06024893394277,27.06024893394277,15.975894440373125,25.10693322506205,0.07779985278850766,4.7036378383636475,5970,0.09915824915824915,0.14831649831649832,0.08602693602693602,7.276262626262627,5.695142378559464,0.011954022988505748,0.950837275315087,9.42895622895623,5.123569023569024,17c-control uniform n100 / neutral-accept test
